Lang	Sents	Source	English
nyn	54338	828671	936243
kbp	31205	633866	534942
cos	150	16413	16130
run	401594	6789820	7104199
cab	62269	1033783	1113015
kri	44809	1018780	766080
her	8860	155250	145240
mlg	1132939	24970173	22425803
tam	756440	6830955	13505063
vol	2425	21112	24737
iku	11045	136046	231494
kal	217473	2423098	3980119
ssp	22203	393781	401718
ada	67725	1707756	1160099
kas	6673	34333	31440
bam	7	22	21
ncs	1999	35173	35943
sfs	15059	246879	246946
zib	15014	252517	252219
urh	31580	611252	544765
apc	15	69	95
csf	12413	218072	223278
bci	153436	3791692	2674578
tuk	128226	1815805	2325411
ach	78743	1533953	1358385
jsl	89999	2280524	1577506
vie	6544706	71301737	61179070
ojb	13459	292798	357404
bcl	499514	10673158	9537456
grc	583	3858	4959
kjh	17	65	80
tmw	5	23	34
hrv	1468202	29057311	30050568
seh	56107	877198	966035
pon	237174	4545355	4320003
tmh	5430	171302	154366
gos	1046	4923	5158
pis	292349	5521517	5205250
bal	60	258	216
ady	12	47	49
sop	54264	958859	944694
arg	5638	38897	33419
scn	9	1552	1614
jav	32285	497245	554687
sgs	62	2762	3055
lun	148101	1932133	2566801
cnh	29144	563424	488583
sun	17079	286796	313399
tog	72973	1089077	1267075
hsn	3	21	15
asm	45725	899462	1327685
lug	248237	3899248	4442962
ndc	32055	498427	537216
pdc	84	1083	1174
loz	451846	9854473	8178987
mrj	3	1550	1546
srn	596312	14480979	11112500
gcf	80	472	455
pfl	6	1377	1375
diq	253	32122	34341
crs	205963	3970504	3645679
lzh	600	19066	20626
ksw	27876	1335726	562743
rue	120	498	707
csl	18724	504518	353564
kaz	126963	462056	521325
mlt	6725046	164665388	154645824
acu	12483	352923	331244
tlh	12942	78793	89279
tzo	153387	3094084	2772284
cjk	37705	614217	639154
akl	27	107	91
lin	586458	11206055	10548417
chq	15619	1081364	413329
cak	47797	1316382	975934
izh	6	22	23
fas	7840897	84015734	87020170
men	1736	37046	29001
bbc	37362	589369	637854
ish	5634	115425	93630
ltz	159	5054	5337
quz	138931	1717386	2539685
ina	19959	142610	137094
pau	34	148	147
quy	123730	1460175	2242887
tzh	23548	541214	416065
yor	453917	13191064	8010446
bho	142	19517	19625
hat	216089	4645244	3813015
ndo	109263	1921573	1869533
tcf	37218	872248	649466
asf	18744	312735	312788
ces	3017646	71607075	74343529
yue	6610	864961	861799
ell	9786663	223341702	225210931
ldn	77	470	435
tvl	185844	5110845	3399075
ecs	18787	334560	341194
hil	895672	18133746	16085492
kok	5	29	103
mah	253449	5953440	4595388
tum	256799	3773927	4509149
bvy	24	159	165
szl	122	383	494
inl	14703	215370	250027
haw	144	63897	64276
xho	1064704	13823812	18683402
wuu	1344	39838	34809
acm	11	63	88
ngu	31721	476270	548785
pcm	24532	482419	410066
swa	1157473	19142033	21217066
aze	502472	8615878	9755515
svk	10498	161348	184969
efi	368114	7604791	6550573
tet	534	47283	46088
afr	1274674	23475528	22342927
est	7768553	138268215	156688721
sux	43	240	217
kvk	85439	2901594	1509255
isl	430136	7755725	7400763
glv	30083	410353	355564
chw	18781	256996	303944
ben	211361	3570864	4038950
ukr	1938804	22604499	27198721
swh	383	1868	2586
tiv	203248	4972354	3602945
prg	213	1526	1717
