Lang	Train	Dev	Tests
abk	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
ace	"OPUS_Ubuntu_v14_10, OPUS_wikimedia_v20190628"		
ach	JW300		
acm	OPUS_Tatoeba_v20190709		
acu	OPUS_bible_uedin_v1		
ada	JW300		
ady	OPUS_Tatoeba_v20190709		
aed	JW300		
afb	OPUS_Tatoeba_v20190709		
afh	OPUS_Tatoeba_v20190709		
afr	"JW300,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_SPC_v1, OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
agr	OPUS_bible_uedin_v1		
ain	OPUS_Tatoeba_v20190709		
aka	 OPUS_wikimedia_v20190628		
ake	OPUS_bible_uedin_v1		
akl	OPUS_Tatoeba_v20190709		
aln	OPUS_Tatoeba_v20190709		
alt	JW300		
alz	JW300		
amh	"GlobalVoices_2018Q4, JW300, OPUS_GlobalVoices_v2017q3,  OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
ami	JW300		
amu	OPUS_bible_uedin_v1		
ang	"OPUS_GNOME_v1, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
aoz	OPUS_Tatoeba_v20190709		
apc	OPUS_Tatoeba_v20190709		
ara	"GlobalVoices_2018Q4,OPUS_MultiUN_v1, news_commentary_v14,OPUS_UNPC_v1_0, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	"UNv1_dev, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	UNv1_test
arc	OPUS_wikimedia_v20190628		
arg	"OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, WikiMatrix_v1"		
arn	JW300		
arq	 OPUS_Tatoeba_v20190709		
ary	OPUS_Tatoeba_v20190709		
arz	" OPUS_Tatoeba_v20190709, WikiMatrix_v1"		
ase	"JW300, "		
asf	JW300		
asm	"JW300,   OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, pmindia_v1, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
ast	"OPUS_GNOME_v1,   OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
atj	OPUS_wikimedia_v20190628		
avk	OPUS_Tatoeba_v20190709		
awa	OPUS_Tatoeba_v20190709		
aym	"GlobalVoices_2018Q4, JW300, OPUS_GlobalVoices_v2017q3,  OPUS_wikimedia_v20190628"		
aze	"JW300,  OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
bak	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, WikiMatrix_v1"		
bal	OPUS_GNOME_v1		
bam	 OPUS_Tatoeba_v20190709		
bar	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, WikiMatrix_v1"		
bas	JW300		
bbc	JW300		
bci	JW300		
bcl	"JW300, OPUS_wikimedia_v20190628"		
bel	"OPUS_EUbookshop_v2,   OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
bem	JW300		
