#	ISO 639-3	Name	Sentences	 SourceTokens	 EnglishTokens
	Total		473,791,285	9,001,777,125	9,072,884,192
1	FRA	French	 33,010,111	 1,001,694,594	 862,394,235
2	RUS	Russian	 25,564,367	 640,353,439	 682,207,974
3	ARA	Arabic	 22,679,389	 588,552,279	 673,442,592
4	ZHO	Chinese	 20,057,876	 827,184,155	 563,720,365
5	TUR	Turkish	 37,720,743	 282,136,509	 386,742,077
6	SRP	Serbian	 33,880,099	 279,793,956	 343,470,174
7	HEB	Hebrew	 25,841,585	 224,902,346	 283,316,533
8	NLD	Dutch	 12,428,300	 278,665,986	 281,604,016
9	POR	Portuguese	 10,954,498	 279,392,943	 264,796,337
10	DEU	German	 12,119,459	 245,035,715	 254,126,788
11	ITA	Italian	 10,095,386	 244,588,092	 245,359,909
12	SPA	Spanish	 9,776,966	 229,401,449	 212,893,081
13	SWE	Swedish	 8,024,230	 156,259,227	 175,706,578
14	DAN	Danish	 7,682,343	 163,476,497	 173,310,159
15	FIN	Finnish	 8,187,935	 131,239,231	 172,686,863
16	POL	Polish	 8,289,276	 151,588,493	 169,532,813
17	ELL	Modern Greek (1453-)	 6,835,717	 155,615,617	 154,230,888
18	NOR	Norwegian	 10,860,768	 126,923,739	 142,425,026
19	HUN	Hungarian	 6,785,904	 124,670,924	 140,421,813
20	SLV	Slovenian	 6,227,413	 123,184,373	 135,429,495
21	BOS	Bosnian	 12,903,765	 108,980,163	 134,352,300
22	SLK	Slovak	 5,689,766	 111,471,118	 125,492,209
23	EST	Estonian	 5,788,575	 94,125,966	 120,585,810
24	LIT	Lithuanian	 5,139,565	 95,332,259	 113,401,294
25	LAV	Latvian	 4,460,210	 88,412,493	 104,312,482
26	FAS	Persian	 8,054,223	 96,700,032	 103,579,635
27	JPN	Japanese	 5,379,355	 111,898,280	 95,783,174
28	VIE	Vietnamese	 6,186,692	 112,645,134	 91,410,645
29	UKR	Ukrainian	 4,446,827	 66,084,956	 75,462,511
30	CES	Czech	 3,986,495	 64,539,275	 74,129,349
31	MLT	Maltese	 3,079,369	 85,936,755	 71,180,461
32	KOR	Korean	 3,907,008	 124,773,196	 67,101,857
33	IND	Indonesian	 3,441,203	 63,578,787	 64,369,133
34	CAT	Catalan	 3,151,150	 66,838,920	 60,317,575
35	RON	Romanian	 2,871,321	 52,945,536	 51,780,651
36	BUL	Bulgarian	 2,755,198	 47,511,112	 50,192,767
37	THA	Thai	 4,003,627	 55,716,180	 49,463,563
38	GLE	Irish	 1,770,628	 48,936,403	 45,855,008
39	HRV	Croatian	 2,304,149	 34,755,332	 39,315,927
40	HIN	Hindi	 2,211,381	 41,452,435	 38,163,209
41	MKD	Macedonian	 1,898,346	 29,456,395	 31,284,559
42	EUS	Basque	 2,101,130	 24,427,549	 30,827,665
43	SQI	Albanian	 1,659,043	 28,953,259	 28,389,962
44	URD	Urdu	 1,121,988	 28,181,194	 26,194,588
45	TGL	Tagalog	 1,307,417	 28,950,146	 26,087,793
46	BEN	Bengali	 1,469,860	 22,481,515	 23,509,544
47	GLG	Galician	 1,270,160	 23,281,744	 22,762,444
48	AFR	Afrikaans	 1,164,819	 22,720,174	 21,574,598
49	CEB	Cebuano	 1,177,127	 23,461,502	 21,304,716
50	EPO	Esperanto	 1,273,333	 20,025,116	 20,887,797
51	SWA	Swahili	 975,456	 17,407,097	 19,155,309
52	ZUL	Zulu	 964,117	 13,671,887	 18,412,040
53	MSA	Malay	 1,945,672	 16,671,082	 18,053,859
54	TAM	Tamil	 1,020,167	 11,400,283	 17,989,394
55	XHO	Xhosa	 993,668	 13,026,040	 17,543,214
56	MAL	Malayalam	 1,042,337	 10,594,525	 17,246,958
57	ILO	Iloko	 898,926	 17,814,296	 17,022,059
58	SIN	Sinhala	 1,141,931	 11,643,363	 16,436,631
59	MLG	Malagasy	 826,222	 17,981,469	 16,408,357
60	HIL	Hiligaynon	 807,375	 17,432,476	 15,442,425
61	SNA	Shona	 763,546	 11,391,280	 15,229,553
62	NYA	Nyanja	 778,089	 12,958,088	 14,921,565
63	TSN	Tswana	 780,798	 20,008,782	 14,855,070
64	TSO	Tsonga	 757,853	 17,309,341	 14,474,201
65	AMH	Amharic	 669,145	 9,765,847	 14,326,330
66	ISL	Icelandic	 1,112,770	 10,987,587	 13,281,910
67	AZE	Azerbaijani	 693,153	 10,806,686	 12,639,115
68	KAT	Georgian	 677,998	 7,474,496	 11,906,197
69	MAR	Marathi	 625,462	 8,315,779	 11,844,853
70	MYA	Burmese	 510,083	 12,713,472	 11,545,908
71	EWE	Ewe	 588,735	 12,826,778	 11,227,502
72	SRN	Sranan Tongo	 546,788	 14,002,996	 10,719,800
73	TAH	Tahitian	 547,403	 16,474,812	 10,587,464
74	NSO	Pedi	 555,777	 13,718,112	 10,567,895
75	LIN	Lingala	 536,198	 10,804,478	 10,179,883
76	TWI	Twi	 537,268	 11,294,035	 10,174,586
77	TEL	Telugu	 557,715	 6,533,017	 9,246,609
78	KIN	Kinyarwanda	 488,086	 8,493,687	 9,135,649
79	BIS	Bislama	 476,064	 11,972,512	 9,034,190
80	BCL	Central Bikol	 451,274	 9,946,706	 8,765,221
81	NEP	Nepali	 444,058	 5,427,354	 8,183,887
82	LOZ	Lozi	 411,874	 9,495,543	 7,872,336
83	GAA	Ga	 409,659	 9,284,738	 7,868,224
84	IBO	Igbo	 415,234	 10,075,710	 7,737,716
85	YOR	Yoruba	 411,461	 12,671,491	 7,668,947
86	PAN	Panjabi	 394,938	 6,569,439	 7,564,168
87	HYE	Armenian	 382,378	 5,779,847	 7,504,431
88	KAN	Kannada	 327,475	 4,029,042	 7,429,653
89	TAT	Tatar	 378,375	 6,070,274	 7,401,723
90	PAP	Papiamento	 381,796	 8,155,628	 7,213,489
91	BEM	Bemba (Zambia)	 381,297	 6,526,989	 7,171,421
92	TPI	Tok Pisin	 383,675	 9,120,242	 7,162,905
93	GUJ	Gujarati	 420,729	 4,899,065	 6,961,346
94	SMO	Samoan	 364,010	 9,262,113	 6,940,694
95	RUN	Rundi	 364,103	 6,521,655	 6,836,527
96	FIJ	Fijian	 357,673	 7,837,220	 6,726,164
97	EFI	Efik	 332,589	 7,312,421	 6,298,566
98	TIR	Tigrinya	 320,856	 4,953,825	 6,288,908
99	TON	Tonga (Tonga Islands)	 323,838	 11,087,182	 6,085,262
100	LUE	Luvale	 317,092	 4,717,517	 6,023,708
101	HAU	Hausa	 295,829	 6,459,154	 5,881,574
102	LUA	Luba-Lulua	 292,212	 5,517,519	 5,532,234
103	KIR	Kirghiz	 283,308	 3,984,657	 5,499,207
104	TOI	Tonga (Zambia)	 291,857	 4,344,007	 5,468,385
105	GUW	Gun	 286,899	 6,650,627	 5,431,468
106	PAG	Pangasinan	 282,341	 5,602,136	 5,351,754
107	WAR	Waray (Philippines)	 281,941	 6,216,918	 5,338,684
108	PIS	Pijin	 263,681	 5,313,880	 5,010,374
109	SWC	Congo Swahili	 271,892	 4,583,791	 4,937,615
110	TGK	Tajik	 286,675	 4,184,663	 4,873,294
111	SAG	Sango	 250,019	 6,554,737	 4,779,729
112	SOM	Somali	 161,865	 3,646,152	 4,573,785
113	MAH	Marshallese	 233,516	 5,757,879	 4,448,457
114	OSS	Ossetian	 225,664	 3,811,618	 4,404,414
115	TUM	Tumbuka	 232,540	 3,622,880	 4,347,800
116	HMO	Hiri Motu	 227,759	 4,781,868	 4,314,100
117	LUG	Ganda	 224,749	 3,731,957	 4,261,136
118	BEL	Belarusian	 290,072	 3,469,541	 4,206,848
119	PON	Pohnpeian	 218,908	 4,397,432	 4,185,579
120	TLL	Tetela	 222,225	 4,233,529	 4,185,359
121	LAT	Latin	 203,175	 2,912,205	 4,180,355
122	KQN	Kaonde	 219,170	 3,727,122	 4,097,908
123	YAP	Yapese	 212,548	 6,219,777	 4,078,280
124	ISO	Isoko	 215,449	 4,917,558	 4,047,680
125	CHK	Chuukese	 207,347	 4,363,629	 4,031,326
126	NIU	Niuean	 214,222	 5,416,864	 3,993,808
127	UMB	Umbundu	 212,228	 3,988,296	 3,939,817
128	GIL	Gilbertese	 203,252	 4,762,950	 3,888,542
129	KON	Kongo	 206,234	 4,417,086	 3,883,443
130	VEN	Venda	 204,407	 5,057,268	 3,782,533
131	LUB	Luba-Katanga	 197,423	 3,541,419	 3,742,176
132	HAT	Haitian	 197,201	 4,438,519	 3,630,101
133	KAL	Kalaallisut	 191,660	 2,206,906	 3,610,449
134	ZNE	Zande (Individual)	 190,082	 4,401,103	 3,602,098
135	OCI	Occitan (Post 1500)	 182,542	 3,606,108	 3,536,378
136	LUS	Lushai	 187,503	 4,290,199	 3,534,861
137	CRS	Seselwa Creole French	 188,361	 3,847,882	 3,528,139
138	MOS	Mossi	 186,434	 4,706,515	 3,517,104
139	TIV	Tiv	 184,113	 4,810,668	 3,469,806
140	NDS	Low German	 185,909	 2,927,867	 3,456,271
